,item,pearson,spearman
0,ようかん (円/日),"(0.5831776118150103, 2.766143301075666e-12)","SpearmanrResult(correlation=0.6022459073481542, pvalue=3.431195827936589e-13)"
1,まんじゅう (円/日),"(-0.11964428168043145, 0.1930531893044902)","SpearmanrResult(correlation=-0.11518804676309298, pvalue=0.21028248032554245)"
2,他の和生菓子 (円/日),"(-0.20129764163651856, 0.02747911358604959)","SpearmanrResult(correlation=-0.16598278539106598, pvalue=0.07001581967436549)"
3,カステラ (円/日),"(-0.5963376635925418, 6.648016853289029e-13)","SpearmanrResult(correlation=-0.5662455595811434, pvalue=1.5806515837649326e-11)"
4,ケーキ (円/日),"(-0.5133574988334385, 2.0277272398373524e-09)","SpearmanrResult(correlation=-0.827314122527011, pvalue=2.4597294253086816e-31)"
5,ゼリー (円/日),"(0.8322216711932615, 5.228375927992311e-32)","SpearmanrResult(correlation=0.8593035624147819, pvalue=3.715609688865227e-36)"
6,プリン (円/日),"(0.354468750828897, 7.122989086363969e-05)","SpearmanrResult(correlation=0.37224757880318515, pvalue=2.8320852998029198e-05)"
7,他の洋生菓子 (円/日),"(-0.5208864427392662, 1.0682662664459486e-09)","SpearmanrResult(correlation=-0.48660729205729436, pvalue=1.7499711175907397e-08)"
8,せんべい (円/日),"(-0.3652645367175953, 4.0949593385698105e-05)","SpearmanrResult(correlation=-0.27395673671562376, pvalue=0.0024635617398167204)"
9,ビスケット (円/日),"(-0.25739309449120507, 0.004538728404947216)","SpearmanrResult(correlation=-0.17690329402639896, pvalue=0.053252453121229774)"
10,スナック菓子 (円/日),"(-0.2719112287732791, 0.0026621089934632607)","SpearmanrResult(correlation=-0.22284467021713952, pvalue=0.014427650132302348)"
11,キャンデー (円/日),"(-0.7946063665825323, 2.452751103556632e-27)","SpearmanrResult(correlation=-0.7932728726481282, pvalue=3.444581148623585e-27)"
12,チョコレート (円/日),"(-0.6956388496619871, 1.1736754982156236e-18)","SpearmanrResult(correlation=-0.8677525282323492, pvalue=1.24508697883307e-37)"
13,チョコレート菓子 (円/日),"(-0.7330933944017377, 1.7480490994426776e-21)","SpearmanrResult(correlation=-0.7364124503413486, pvalue=9.31201283617431e-22)"
14,アイスクリーム・シャーベット (円/日),"(0.9019825462105531, 7.398472167098003e-45)","SpearmanrResult(correlation=0.9213304688374941, pvalue=3.0558405638146114e-50)"
